TARGET,AMT_INCOME_TOTAL,AMT_CREDIT
1,202500,406597.5
0,270000,1293502.5
0,67500,135000
0,135000,312682.5
0,121500,513000
0,99000,490495.5
0,171000,1560726
0,360000,1530000
0,112500,1019610
0,135000,405000
0,112500,652500
0,38419.155,148365
0,67500,80865
0,225000,918468
0,189000,773680.5
0,157500,299772
0,108000,509602.5
0,81000,270000
0,112500,157500
0,90000,544491
0,135000,427500
0,202500,1132573.5
0,450000,497520
0,83250,239850
0,135000,247500
0,90000,225000
1,112500,979992
0,112500,327024
0,270000,790830
0,90000,180000
0,292500,665892
0,112500,512064
0,90000,199008
0,360000,733315.5
0,135000,1125000
0,112500,450000
0,198000,641173.5
0,121500,454500
0,99000,247275
0,180000,540000
1,202500,1193580
0,202500,604152
1,135000,288873
0,108000,746280
0,202500,661702.5
0,90000,180000
0,202500,305221.5
0,99000,260640
0,130500,1350000
0,360000,1506816
0,54000,135000
0,540000,675000
0,76500,454500
0,225000,314055
0,81000,675000
0,180000,837427.5
0,67500,298728
0,81000,247500
0,360000,640458
0,540000,1227901.5
0,180000,1663987.5
0,180000,1080000
0,324000,1130760
0,112500,95940
0,180000,315000
0,180000,1256400
0,180000,1035000
0,225000,270000
0,157500,450000
0,180000,450000
0,180000,450000
0,103500,573628.5
0,225000,495351
0,157500,755190
0,135000,675000
0,202500,1288350
0,112500,135000
0,135000,337761
0,94500,585000
0,108000,113760
0,67500,135000
1,81000,252000
0,157500,760225.5
0,225000,270000
0,360000,733315.5
0,202500,796396.5
0,202500,343377
0,126000,327024
0,72000,450000
0,90000,547344
0,193500,225000
0,171000,545040
0,135000,373140
0,112500,862560
1,315000,953460
0,76500,135000
0,135000,284400
0,90000,315000
0,243000,900000
0,90000,675000
0,54000,180000
0,135000,781920
0,126000,787131
0,76500,808650
0,103500,675000
0,225000,448272
0,126000,263686.5
0,135000,180000
0,112500,52128
0,85500,135000
1,157500,723996
0,270000,891072
0,202500,1136439
0,67500,384048
0,202500,180000
0,135000,391194
0,157500,1571931
0,225000,891072
0,135000,824823
0,157500,302341.5
0,157500,675000
0,360000,579195
0,162000,270000
0,112500,535500
0,202500,260725.5
0,117000,327024
0,135000,518562
0,247500,755190
0,171000,539590.5
0,135000,182016
0,157500,254412
0,202500,1107981
0,144000,180000
0,157500,675000
0,157500,945000
0,180000,1755000
0,180000,590337
0,225000,1515415.5
1,292500,675000
0,90000,370629
0,112500,547344
0,130500,550489.5
0,450000,407434.5
0,175500,1293502.5
0,58500,152820
0,180000,427500
0,117000,781920
0,180000,225000
0,202500,1251072
0,135000,1078200
0,112500,312682.5
0,119250,679500
0,202500,675000
0,315000,1288350
1,157500,245619
0,112500,135000
0,103500,239850
0,58500,187704
0,117000,269550
0,225000,1325475
0,135000,263844
0,162000,263686.5
0,112500,544491
1,111915,225000
0,225000,296280
0,157500,315000
0,90000,336150
0,164250,755190
0,157500,497520
0,135000,531000
0,112500,269550
0,216000,450000
0,180000,675000
0,67500,127350
0,54000,119925
0,81000,532494
0,63000,808650
0,157500,318528
0,157500,700830
0,180000,888840
1,180000,540000
0,202500,771493.5
0,225000,746280
0,49500,278460
1,202500,436032
0,90000,227520
0,90000,67500
0,180000,254700
0,337500,876078
0,315000,2250000
0,225000,1040985
0,225000,684054
0,225000,1256400
0,157500,720000
0,112500,270000
0,292500,1024740
0,121500,1102500
0,157500,544491
0,135000,405000
0,108000,912240
0,216000,679671
0,67500,180000
0,135000,364896
0,112500,312768
0,144000,1288350
0,135000,781920
0,225000,1483231.5
0,135000,590337
0,90000,101880
0,112500,161730
0,247500,447768
1,135000,495216
0,225000,402939
0,90000,808650
0,67500,76410
0,72000,90000
0,202500,270000
0,225000,490495.5
0,292500,1078200
0,315000,824544
0,90000,312768
0,135000,81000
0,180000,427500
0,180000,180000
0,90000,522000
0,315000,1575000
0,108000,585000
0,121500,1215000
0,112500,723996
0,157500,1256400
0,225000,675000
0,85500,225000
0,180000,427450.5
0,90000,337500
0,135000,180000
1,157500,1710000
0,308250,1305000
0,108000,646920
0,135000,497520
0,67500,364896
0,180000,254700
0,112500,675000
1,73341,135000
0,135000,747000
0,180000,675000
0,112500,180000
1,121500,263686.5
0,202500,225000
0,157500,450000
0,202500,526491
0,135000,224136
0,153000,292500
0,202500,675000
0,202500,1271281.5
0,157500,835380
1,225000,1019205
0,225000,223884
0,135000,334152
0,270000,473760
0,112500,540000
1,63000,426645
1,112500,571486.5
0,180000,187704
0,292500,254700
0,225000,675000
0,135000,237024
0,225000,451804.5
0,157500,208512
0,157500,263686.5
0,180000,1071000
0,87750,1206954
0,292500,239850
0,121500,288873
0,67500,622413
0,180000,630000
0,90000,381528
0,135000,781920
0,225000,481855.5
0,270000,521280
0,225000,254700
0,450000,1575000
0,112500,152820
0,135000,640080
1,36000,284400
0,180000,407727
0,171000,1270746
0,135000,247275
0,157500,545040
0,382500,450000
0,90000,101880
0,63000,675000
1,157500,497520
0,270000,545040
0,270000,630000
0,166500,495000
0,202500,787131
0,76500,545040
0,90000,101880
0,315000,90000
0,112500,225000
0,157500,450000
0,180000,582804
0,81000,640080
0,135000,1223010
0,108000,364896
0,112500,481495.5
0,69750,675000
0,81000,536917.5
0,112500,135000
0,315000,946503
0,180000,188685
0,225000,180000
0,112500,226908
0,67500,202500
0,270000,1800000
0,157500,807984
0,360000,493497
0,315000,1024290
0,247500,517788
0,765000,1350000
0,166500,675000
0,157500,528633
0,45000,448056
0,450000,808650
0,90000,531000
0,225000,906228
0,112500,1308964.5
0,180000,942300
0,360000,254700
0,157500,239850
0,247500,808650
0,112500,942300
0,630000,900000
0,121500,302544
0,180000,640080
0,292500,1095817.5
0,99000,518562
0,247500,1971072
0,90000,555273
0,153000,808650
0,180000,180000
0,405000,2250000
0,112500,178290
0,225000,888840
1,112500,417024
0,144000,1417185
0,81000,180000
0,270000,536917.5
1,202500,343683
0,81000,276277.5
0,315000,1350000
0,180000,450000
0,135000,468648
0,157500,521280
0,81000,454500
0,112500,454500
0,180000,1258650
0,450000,1035832.5
0,135000,318528
0,90000,90000
0,112500,533304
0,112500,792162
0,180000,755190
0,135000,521280
0,112500,454500
0,54000,91692
0,450000,900000
0,472500,1327648.5
1,112500,117162
0,90000,688500
0,67500,450000
0,90000,1224990
0,180000,629325
0,90000,157914
0,157500,1724220
0,90000,495000
0,157500,472500
0,202500,280170
0,112500,450000
0,112500,405000
0,67500,817560
1,81000,312840
0,40500,127350
0,135000,269550
0,148500,805536
0,144000,456273
0,202500,598486.5
0,157500,942300
0,144000,446931
1,171000,1009566
0,247500,521280
0,607500,1350000
0,135000,830214
0,211500,545040
0,211500,270000
0,90000,808650
0,270000,225000
0,315000,540000
0,252000,288873
0,111919.5,152820
0,112500,263686.5
0,112500,345510
0,135000,545040
0,81000,225000
0,112500,900000
0,450000,1350000
0,225000,1345500
0,112500,697500
1,135000,545040
0,405000,1483231.5
0,450000,900000
0,405000,495000
0,225000,509922
1,112500,284400
0,90000,393543
0,90000,180000
0,450000,473760
0,180000,540000
0,112500,445500
1,270000,810000
0,58500,172021.5
0,121500,630747
0,270000,364896
0,90000,238500
1,135000,755190
0,193500,314100
0,450000,716161.5
0,270000,1288350
0,112500,832500
0,450000,1125000
0,135000,180000
0,112500,485190
0,225000,678996
0,202500,840951
0,247500,1125000
0,202500,485640
0,189000,876019.5
0,157500,187704
0,225000,675000
0,112500,345645
0,202500,450000
0,450000,1971072
0,90000,339241.5
0,85500,454500
0,180000,848745
0,270000,265306.5
0,157500,1032093
0,157500,117000
0,117000,202500
0,112500,625536
0,135000,270000
0,157500,225000
0,180000,343683
0,225000,1096020
0,112500,284400
0,157500,215640
0,144000,90000
0,112500,270000
0,90000,675000
0,135000,269550
0,135000,770292
0,112500,904500
0,99000,277969.5
0,121500,382500
0,157500,256500
0,90000,225000
0,99000,787131
0,180000,1044724.5
0,157500,450000
0,184500,225000
1,157500,338832
1,180000,900000
0,112500,156339
0,157500,225000
0,96750,252000
0,144000,1012500
0,67500,508495.5
1,211500,450000
0,225000,545040
0,247500,669591
0,225000,1125000
0,112500,337500
0,58500,50940
0,225000,1320975
0,157500,270000
0,450000,2286211.5
0,49500,225000
0,337500,675000
0,135000,1175314.5
0,180000,835380
0,112500,518562
0,117000,932643
1,99000,180000
0,180000,1395000
0,292500,983299.5
0,31500,314055
0,157500,961146
0,225000,1125000
0,108000,247275
0,180000,225000
0,171000,555273
0,135000,358443
0,180000,270000
0,270000,528318
0,270000,835380
0,135000,1546020
0,360000,343800
0,139500,269550
0,126000,284400
0,85500,515529
0,90000,117162
0,157500,679500
0,103500,302076
0,225000,478498.5
0,90000,263686.5
0,106398,360000
0,247500,450000
0,117000,599778
0,135000,734994
0,202500,1125000
0,315000,835380
0,112500,1237684.5
0,157500,284400
0,144000,442791
0,180000,278460
0,229500,1006920
0,225000,593010
0,184500,654498
0,180000,294322.5
0,292500,900000
0,135000,254700
0,157500,1288350
0,90000,180000
0,180000,675000
1,225000,203760
0,99000,364896
0,225000,1800000
0,450000,1312110
0,207000,380533.5
0,99000,521280
0,337500,926136
0,162000,874152
0,121500,225000
0,112500,201024
0,202500,675000
0,135000,913500
0,225000,732915
0,247500,414792
0,108000,157500
0,157500,238500
1,211500,1506816
0,270000,765000
0,135000,203760
0,90000,158301
0,157500,373311
1,112500,254700
0,157500,1350000
0,90000,755190
0,76500,119925
0,247500,900000
1,216000,640080
0,99000,247500
0,67500,225000
1,180000,284400
1,135000,808650
0,157500,634482
0,130500,995562
0,247500,755856
0,135000,427500
0,112500,270000
0,54000,312768
0,135000,414792
0,189000,215640
0,90000,603792
0,234000,270000
0,202500,808650
0,67500,152685
0,112500,254700
0,87750,314100
0,112500,270000
0,135000,422451
0,45000,168102
0,144000,364896
0,81000,670500
0,112500,381528
0,135000,900000
1,112500,808650
0,225000,942300
0,157500,900000
0,202500,1125000
0,121500,1223010
0,184500,1078200
0,72000,384048
0,90000,254700
0,180000,526491
0,90000,279000
0,157500,270000
0,225000,991944
0,265500,360000
0,135000,1125000
0,243000,631332
0,135000,167121
0,63000,528633
1,135000,244998
0,225000,585000
0,81000,90000
0,90000,808650
0,180000,450000
0,135000,1219500
0,360000,675000
0,225000,495985.5
0,157500,477000
0,157500,526491
0,67500,495000
0,112500,225000
0,90000,760500
0,90000,490536
0,180000,533668.5
0,135000,1160973
0,135000,808650
0,157500,225000
0,180000,439740
0,540000,1575000
1,180000,755190
1,99000,548770.5
0,126000,337500
0,135000,761067
1,135000,284400
0,234000,360000
0,292500,746280
0,90000,135000
0,216000,868500
0,540000,545040
0,202500,227520
0,112500,312768
0,112500,1223010
0,202500,450000
0,112500,284400
0,112500,555273
0,315000,1971072
0,112500,270000
0,225000,450000
0,157500,450000
0,157500,1218375
0,292500,720000
0,112500,1080000
0,112500,247275
0,135000,180000
0,216000,337500
0,90000,284400
0,108000,390960
0,38250,47970
0,171000,495000
0,103500,270000
0,171000,679500
0,121500,472500
0,90000,107820
0,202500,247675.5
0,180000,675000
0,157500,448056
0,202500,938304
0,225000,225000
0,135000,180000
0,126000,157050
0,157500,808650
0,112500,277969.5
0,247500,805500
0,288000,1971072
0,112500,254700
0,90000,675000
0,112500,351000
0,225000,1096020
0,202500,1006920
0,135000,1125000
0,112500,679500
0,405000,1327648.5
0,225000,1017000
0,135000,180000
1,54000,1885500
0,67500,293535
0,270000,265851
0,270000,675000
0,112500,450000
0,112500,813195
0,157500,339948
0,126000,808650
0,49500,431280
0,180000,963000
1,405000,413235
0,81000,454500
0,103500,886090.5
0,126000,698517
0,112500,223884
0,76500,499261.5
0,135000,679500
0,157500,407727
0,270000,1098000
0,247500,654498
0,180000,675000
1,135000,640080
0,112500,95940
0,540000,900000
0,180000,1649646
0,270000,274779
0,135000,635962.5
0,126000,942300
0,112500,225000
1,157500,88884
0,67500,364032
0,225000,900000
0,279000,1520253
0,157500,808650
0,180000,1468719
0,225000,616923
0,112500,270000
0,225000,500211
0,117000,225000
0,153000,450000
0,90000,253737
0,67500,497520
0,90000,131922
0,121500,723996
0,202500,485640
0,337500,267102
0,45000,135000
0,81000,229500
1,180000,824823
1,135000,450000
0,225000,835380
0,247500,1087474.5
0,117000,1078200
0,180000,942300
0,67500,439074
0,58500,888840
0,112500,90000
0,157500,531706.5
0,225000,755190
0,342000,585000
0,67500,180000
0,157500,1190340
0,117000,276277.5
0,202500,485640
0,270000,770292
0,112500,364896
0,49500,153504
0,270000,1467612
0,270000,1225224
0,180000,711747
0,306000,2085120
0,180000,957033
0,135000,253737
0,135000,573628.5
0,112500,573628.5
0,225000,398016
0,180000,239850
0,112500,450000
0,90000,242950.5
0,90000,203760
0,90288,405000
0,360000,1030500
0,225000,582768
0,126000,260640
0,139500,317178
0,90000,238896
0,247500,835380
1,450000,1323000
0,67500,143910
0,243000,180000
0,213750,765000
0,112500,117162
0,157500,327024
0,157500,557770.5
0,315000,697500
0,67500,157914
0,135000,900000
0,450000,855000
0,157500,553806
0,67500,203760
0,315000,312682.5
0,90000,701730
0,214650,1442952
0,135000,675000
1,112500,1006920
0,135000,550980
0,112500,497520
0,67500,225000
0,67500,103855.5
0,81000,76500
1,117000,770292
0,135000,574785
0,45000,348264
0,252000,180000
0,337500,814041
0,81000,490536
0,225000,781920
0,135000,229500
0,360000,270000
0,225000,254700
0,337500,900000
0,63000,284400
0,180000,403330.5
0,108000,760225.5
0,48600,229500
0,112500,832500
0,112500,675000
0,90000,238500
0,270000,284256
0,202500,1317357
0,99000,1288350
0,90000,364896
0,135000,1350000
0,112500,95940
0,81000,517500
0,135000,607050
0,202500,675000
0,112500,162000
0,135000,180000
0,225000,644427
1,76500,390960
0,270000,450000
0,112500,178213.5
0,67500,673875
