Price,Distance,Rooms
1490000,3,3
1220000,3,3
1420000,3,3
1515000,7.5,3
670000,10.4,2
530000,10.4,2
540000,10.4,2
715000,10.4,3
,14,6
1925000,3,3
515000,10.5,3
717000,10.5,4
1675000,5.7,2
2008000,5.7,4
860000,11,2
,15.5,4
720000,9.4,3
836000,6.3,2
2110000,6.3,2
1386000,6.3,3
580000,6.3,2
355000,6.3,1
1123100,4.3,3
1270000,10.2,3
,10.2,4
1610000,10.2,3
1435000,10.2,4
1431000,21.5,4
996000,21.5,4
,16.5,4
825000,9.5,4
660800,7.9,2
700000,7.9,2
2700000,7.9,5
2035000,7.9,3
955000,7.9,3
1810000,7.9,4
1850000,9.7,4
,9.7,3
2600000,9.7,4
1220000,9.7,3
2470000,9.7,4
,9.7,4
800000,9.7,2
880000,23.2,4
1285000,17.3,4
835000,17.3,2
1445000,17.3,4
,17.3,2
1435000,17.3,4
675000,8.8,3
1300000,11.4,4
1500000,11.4,4
1340000,11.4,3
,11.4,2
1400000,13.8,3
,13.8,2
775000,13.8,2
920000,13.8,3
1220000,13.8,2
1130000,13.8,2
1460000,13.8,4
,17.3,3
3000000,17.3,4
1200000,13.4,4
1410000,13.4,4
1110000,13.4,3
960000,13.4,4
1090000,13.4,5
980000,13.4,3
,13.4,3
1925000,13.4,4
710000,13.4,3
985000,27,4
,25,4
420000,10.9,2
500500,8.6,3
490000,8.6,2
500000,8.6,2
,10.5,3
,10.5,4
,10.5,3
2250000,10.5,4
,10.5,4
,10.3,2
,10.3,4
,10.3,4
1958000,10.3,3
2137000,10.3,4
,10.3,4
2975000,10.3,4
,14,4
457000,14,3
,5.2,3
740000,5.2,2
,5.2,3
900000,5.2,3
1250000,5.2,4
,5.2,4
1225000,5.2,2
1120000,5.2,3
560000,5.2,2
1685000,5.2,3
625000,5.2,2
1470000,4,3
860000,4,2
900000,5.2,3
398000,5.2,2
576000,5.2,2
1400000,5.2,4
,5.2,5
850000,5.2,3
1150000,10.8,4
525000,12.1,2
740000,12.1,4
340000,12.1,2
1265000,10.4,5
1000000,10.4,3
1460000,14.7,4
1200000,14.7,4
935000,14.7,4
780000,14.7,3
868000,7.7,2
1375000,7.7,3
1235000,7.7,2
1510000,7.7,3
1520000,7.7,3
835000,7.7,2
495000,7.7,2
,7.7,6
2100500,7.7,4
3300000,8.4,5
,1.6,2
1470000,3.5,2
2410000,3.5,3
1775000,10.1,4
,10.1,3
295000,10.1,1
629000,14.8,4
406000,14.8,2
825000,31.2,3
581500,34.9,4
1400000,8.4,3
,7.8,2
,8.7,2
1538000,8.7,3
1354000,11.7,3
886000,27,3
,17.9,4
,44.2,5
4000000,16.7,7
1010000,16.7,4
697500,16.7,2
,16.7,4
800000,17.5,3
,3.6,4
1805000,3.6,3
1400000,3.6,3
1032500,6.7,3
1070000,6.7,3
1005000,6.7,3
905000,6.7,2
412000,6.7,2
333000,6.7,1
797500,6.7,2
430000,6.7,2
490000,6.7,2
960000,6.7,4
,2,2
960000,2,2
356500,20.6,3
,20.6,5
580500,20.6,4
573000,20.6,3
475000,20.6,4
385000,20.6,3
,34.7,3
475000,34.7,3
744000,23,3
,23,4
,23,3
746000,23,3
965000,23,3
455500,14,3
800000,24.7,3
610000,24.7,3
,24.7,2
307000,24.7,2
,37.5,3
1610000,7.9,2
589000,14.8,5
603000,14.8,4
335000,18,3
730000,21.8,4
920000,22.2,4
770000,22.2,3
1140000,22.2,4
910000,22.2,4
883850,22.2,4
1556000,12.4,4
,12.4,4
1249000,14.3,4
950000,14.3,3
820000,14.3,3
1730000,14.3,4
,14.3,3
1260000,16.1,3
1300000,16.1,4
1820000,8.9,3
675000,1.3,1
4150000,1.3,4
1130000,27,3
1683000,7.2,3
,7.2,4
2250000,7.2,3
840500,18,3
900000,18,3
837000,18,3
1000000,18,4
,7.2,1
800000,7.2,2
805000,7.2,2
,7.2,3
,7.2,2
2985000,7.2,4
,7.2,5
690000,28.5,4
497000,19.6,3
507500,19.6,3
1010000,19.6,5
1930000,7.5,4
1399000,7.5,4
1512000,7.5,3
2000000,7.5,4
552000,7.5,3
860000,7.5,2
946000,8.2,4
1430000,7.5,3
1270000,5.7,4
635000,13.1,3
630000,13.1,3
705000,13.1,3
625000,13.1,3
665508,24.8,3
691000,24.8,3
,24.8,3
815000,24.8,4
730000,24.8,3
,2.1,4
720000,2.1,1
1890000,3.6,3
1454000,3.6,3
2061000,3.6,4
1310000,3.6,3
995000,3.6,2
3259000,3.6,4
,3.6,5
,3.6,3
1325000,3.6,2
331000,5.1,1
1000000,5.1,3
771000,5.1,2
1260000,15.4,3
508000,38,3
501500,38,2
450000,36.9,3
351000,38,4
650000,12.9,4
,7.3,3
3730000,7.3,3
1225000,7.3,3
,7.3,3
1500000,7.3,4
,7.3,4
,7.3,4
1100080,16.7,4
1520000,16.7,4
1716000,16.7,7
1100000,16.7,5
1467000,16.7,4
1600000,16.7,3
1311000,16.7,4
,16.7,3
582000,11.2,3
536000,12.9,3
696000,12.9,3
757000,16.1,3
860000,16.1,4
768000,16.1,3
812000,16.1,4
782000,16.1,3
725000,16.1,3
680000,16.1,4
882000,16.1,3
,20.4,4
632000,20.4,4
,11.2,4
812000,11.2,4
837000,11.2,3
473000,11.2,3
,13.8,4
2288500,13.8,3
750000,13.8,2
1510000,13.8,3
1500000,13.8,3
855000,5.3,3
,5.3,3
,5.3,4
490000,5.3,2
620000,5.3,2
600000,5.3,2
,5.3,3
975000,5.3,3
,21.3,2
655000,8.9,2
1420000,8.9,4
786000,8.8,3
,8.8,2
959000,8.8,3
720000,8.8,3
,16,4
1322000,16,3
,16,4
612500,18,4
630000,18,4
715000,18.4,4
,18.4,3
686500,18.4,4
1065000,12.3,2
1355000,12.3,4
1145000,12.3,3
792000,7.8,2
1440000,7.8,3
,7.8,4
660000,7.8,2
1977000,7.8,3
1840000,7.8,3
1275000,7.8,4
1781000,7.8,3
575000,14,3
542000,14,3
569000,15.5,3
950000,11.7,3
850000,11.7,4
,11.7,3
756000,11.7,3
,11.7,3
680000,11.7,3
360000,3.4,1
325000,3.4,1
1103000,3.4,4
901000,3.4,2
,3.4,2
653000,5.4,2
,5.4,4
,5.4,3
2000000,5.4,3
,5.4,3
1610000,5.4,4
,5.4,3
,5.4,3
2315000,5.4,4
1050000,5.4,3
,5.4,3
2155000,5.4,3
830000,5.4,3
,7.3,5
1770000,7.3,4
600000,25.2,3
,6.4,3
,6.4,3
,6.4,3
,23.3,4
,31.7,4
592000,16.3,3
,29.9,4
,12.7,5
1120000,12.7,4
710000,12.7,3
915000,12.7,3
,6.4,2
360000,5.9,1
2400000,5.9,4
1350000,5.9,3
450000,5.9,1
,5.9,4
,8.4,3
2000000,8.4,3
1150000,8.4,3
813000,4.3,3
330000,4.3,2
1425000,4.3,5
875000,11.4,3
1265000,11.4,2
1200000,11.4,3
520000,17.4,3
605000,0,2
649000,0,2
440000,0,1
431000,31.7,3
1300000,20,4
337000,20,1
,20,3
525500,25.9,4
800000,3,2
425000,17.9,3
595500,17.9,3
660000,17.9,3
,17.2,4
1300000,17.2,3
820000,16.2,3
725000,16.2,3
1180000,6.2,2
910000,6.2,2
887500,6.2,3
1143000,6.2,3
,6.2,3
1117500,6.2,3
1330000,6.2,3
800000,14.3,2
1410000,14.3,5
457500,14.3,1
778000,26.5,3
822000,21.5,3
895000,21.5,3
1300000,21.5,4
568888,14.2,2
3105000,14.2,5
1500000,14.2,4
1030000,14.2,3
,14.2,2
,14.2,4
,14.2,5
1275000,14.2,4
1360000,14.2,3
,14.2,5
,14.2,5
980000,14.2,4
,14.2,3
1601000,14.2,5
1780000,14.2,4
630000,18.8,3
925000,18.8,4
868000,18.8,3
880000,18.8,5
920000,18.8,3
1550000,10.1,4
720000,10.1,2
586500,10.1,2
551000,34.1,3
510000,34.1,4
1032000,6.2,2
1270000,6.2,3
710000,22.7,4
1815000,1.8,6
420000,1.8,1
1200000,5.3,2
345000,5.3,1
,5.3,3
1075000,5.3,3
1332000,5.3,3
,5.3,1
685000,15.4,3
1185000,15.4,3
806000,15.4,3
857000,11.2,3
945000,11.2,4
986000,12.3,4
1120000,15.5,2
710000,15.5,3
420000,11.4,2
490000,11.4,2
,11.4,3
1100000,11.4,3
378000,47.3,3
1260000,21.5,3
1200000,21.5,3
669000,21.5,2
668000,1.8,1
945000,8.5,4
650000,8.5,2
1510000,8.5,4
522000,8.5,2
760000,8.5,3
930000,8.5,3
645000,31.2,3
,20.1,4
641000,14.7,3
720000,14.7,4
625000,3.5,2
1400000,3.5,3
2090000,3.5,4
505000,3.5,1
1650000,3.5,3
311000,4.6,1
1325000,4.6,2
,4.6,3
940000,4.6,2
893000,8.4,3
410000,8.4,2
640000,8.4,3
1239500,8.4,3
530000,8.4,2
610000,12,3
710000,12,2
,12,3
357500,12,1
560000,12,2
390000,12,2
,12,4
700000,12,3
846000,12,2
500000,12,3
1100000,12,5
,12,3
655000,12,2
520000,12,2
850000,12,3
,12,3
886500,12,3
1110000,2.4,2
906000,2.4,2
1100000,2.4,2
610000,2.4,2
550000,2.4,1
514500,2.4,2
,2.4,3
1619000,2.4,3
410000,47.4,3
,19.9,3
,19.9,2
739000,19.9,3
901000,21.3,4
700000,21.3,3
805000,19.9,3
,8.9,3
,8.9,2
,23.5,3
,23.5,4
868200,23.5,4
,20.6,3
462000,20.6,4
448000,20.6,4
393500,20.6,3
,20.6,3
,15.2,4
1450000,15.2,3
,15.2,3
821000,22.2,3
701000,35.4,4
865500,5.1,3
362000,5.1,2
,1.9,2
651000,1.9,2
711000,20.5,4
560000,20.5,4
387000,20.5,3
,20.5,4
920000,20.5,5
706000,20.5,4
5000000,2.7,5
480000,2.7,1
495000,2.7,2
,2.7,4
705000,2.7,2
392000,2.7,1
630000,0.7,2
667500,6.2,3
860000,20.8,3
860000,14,4
610000,14,3
605000,14,3
645000,14,3
,14,3
1100000,14,1
640000,5,3
,5,1
501500,5,2
890000,8.2,3
1301000,8.2,4
900000,8.2,3
890000,10.5,3
,10.5,3
430000,10.5,2
1200000,10.5,3
612000,10.5,3
732000,10.5,3
861800,10.5,4
630000,10.5,4
,10.5,3
,10.2,2
3250000,10.2,5
,10.2,4
1600000,10.2,4
,10.2,2
,10.2,3
593000,18,5
547000,18,4
,15.5,3
645500,15.5,4
1952000,15.5,5
1175000,15.5,3
1750000,15.5,4
1380000,15.5,4
965000,15.5,3
1051888,12.4,4
1310000,12.4,5
1150000,12.4,4
1255000,12.4,4
1351000,12.4,5
1161500,12.4,3
580000,15.3,3
745000,15.3,3
576000,15.3,3
517000,15.3,3
525000,15.3,3
,7,2
1260000,7,2
,7,3
1651118,7,4
,4.1,1
580000,4.1,2
1850000,4.1,2
,4.1,3
855000,4.1,3
1600000,4.1,3
,18.4,3
695000,12.9,4
560000,12.9,3
,12.9,2
1120000,17.2,4
,17.2,4
,14.7,5
921000,14.7,4
,14.7,3
1390000,14.7,5
,21.1,4
730000,21.1,3
700000,14.7,2
452000,14.7,3
,14.7,3
430000,14.7,3
720000,6.4,3
975000,6.4,3
930000,6.4,2
315000,3.1,1
470000,16.5,2
,16.5,3
,16.7,4
1185000,16.7,4
,16.7,3
1050000,16.7,4
1131000,16.7,3
1700000,6.8,5
